simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition
1,1,regular,23.865000000000002,6.129999999999999,5.050000000000001,111.90000000000012,None
1,2,regular,24.195,5.800000000000004,5.655000000000001,131.70000000000002,None
1,3,regular,24.549999999999997,5.445000000000007,6.0,152.99999999999983,None
1,4,regular,24.97,5.025000000000006,6.0,178.19999999999993,None
1,5,regular,25.400000000000006,4.594999999999999,6.0,204.00000000000034,None
1,6,regular,25.52000000000001,4.474999999999994,6.0,211.2000000000006,None
1,7,regular,24.210000000000008,4.719999999999999,11.150000000000006,132.60000000000048,None
1,8,regular,21.995000000000005,5.0800000000000125,5.9950000000000045,0.0,None
1,9,regular,21.995000000000005,6.974999999999994,2.1750000000000114,0.0,None
1,10,regular,22.360000000000014,7.634999999999991,2.855000000000018,21.60000000000082,None
1,11,regular,23.41500000000002,6.579999999999984,3.8000000000000114,84.90000000000123,None
1,12,regular,23.63499999999999,6.360000000000014,4.590000000000032,98.09999999999945,None
1,1,ebook_first,23.77,6.225000000000001,5.050000000000001,106.19999999999997,None
1,2,ebook_first,23.975,6.020000000000003,5.469999999999999,118.50000000000009,eBook
1,3,ebook_first,24.320000000000007,5.674999999999997,5.954999999999998,0.0,eBook
1,4,ebook_first,24.635000000000005,5.359999999999999,6.0,0.0,eBook
1,5,ebook_first,25.010000000000005,4.984999999999999,6.0,0.0,eBook
1,6,ebook_first,25.400000000000006,4.594999999999999,6.0,0.0,eBook
1,7,ebook_first,25.534999999999997,4.460000000000008,9.180000000000007,0.0,None
1,8,ebook_first,24.409999999999997,4.675000000000011,11.384999999999991,0.0,Book
1,9,ebook_first,21.995000000000005,4.675000000000011,14.469999999999999,0.0,Book
1,10,ebook_first,21.995000000000005,6.1699999999999875,24.860000000000014,0.0,Book
1,11,ebook_first,21.995000000000005,7.420000000000016,26.350000000000023,0.0,Book
1,12,ebook_first,22.275000000000034,7.694999999999993,27.360000000000014,16.500000000002046,Book
1,1,ebook_second,23.77,6.225000000000001,5.050000000000001,106.19999999999997,None
1,2,ebook_second,23.925000000000004,6.07,5.469999999999999,115.50000000000026,Book
1,3,ebook_second,24.230000000000004,5.765000000000001,5.8700000000000045,0.0,Book
1,4,ebook_second,24.480000000000004,5.515000000000001,6.0,0.0,Book
1,5,ebook_second,24.795,5.200000000000003,6.0,0.0,Book
1,6,ebook_second,25.13499999999999,4.860000000000014,6.0,0.0,Book
1,7,ebook_second,25.55000000000001,4.444999999999993,6.0,0.0,None
1,8,ebook_second,25.27000000000001,4.724999999999994,9.705000000000013,0.0,eBook
1,9,ebook_second,25.00999999999999,4.795000000000016,11.210000000000008,0.0,eBook
1,10,ebook_second,21.995000000000005,4.685000000000002,14.900000000000006,0.0,eBook
1,11,ebook_second,21.995000000000005,6.410000000000025,25.764999999999986,0.0,eBook
1,12,ebook_second,21.995000000000005,7.5849999999999795,26.975000000000023,0.0,eBook
5,1,regular,22.97,7.025000000000002,4.149999999999999,58.19999999999993,None
5,2,regular,22.97,7.025000000000006,4.150000000000002,58.19999999999993,None
5,3,regular,22.97,7.025000000000006,4.145000000000003,58.19999999999993,None
5,4,regular,22.97,7.025000000000006,4.144999999999996,58.19999999999993,None
5,5,regular,22.97,7.025000000000006,4.144999999999996,58.19999999999993,None
5,6,regular,22.97,7.025000000000006,4.144999999999996,58.19999999999993,None
5,7,regular,22.97,7.025000000000006,4.14500000000001,58.19999999999993,None
5,8,regular,22.97,7.025000000000006,4.14500000000001,58.19999999999993,None
5,9,regular,22.97,7.025000000000006,4.140000000000015,58.19999999999993,None
5,10,regular,22.97,7.025000000000006,4.140000000000015,58.19999999999993,None
5,11,regular,22.970000000000027,7.024999999999977,4.140000000000015,58.20000000000164,None
5,12,regular,22.970000000000027,7.024999999999977,4.139999999999986,58.20000000000164,None
5,13,regular,22.970000000000027,7.024999999999977,4.139999999999986,58.20000000000164,None
5,1,ebook_first,22.88,7.115000000000002,4.149999999999999,52.79999999999994,None
5,2,ebook_first,22.92,7.075000000000003,3.9750000000000014,55.2000000000001,eBook
5,3,ebook_first,22.900000000000006,7.094999999999999,4.035000000000004,54.00000000000034,eBook
5,4,ebook_first,22.89,7.105000000000004,4.010000000000005,53.400000000000034,eBook
5,5,ebook_first,22.879999999999995,7.115000000000009,3.9849999999999994,52.79999999999973,eBook
5,6,ebook_first,22.875,7.1200000000000045,3.969999999999999,52.5,eBook
5,7,ebook_first,22.814999999999998,7.180000000000007,3.960000000000008,48.899999999999864,None
5,8,ebook_first,22.814999999999998,7.180000000000007,3.835000000000008,48.899999999999864,Book
5,9,ebook_first,22.775000000000006,7.219999999999999,3.8499999999999943,46.50000000000034,Book
5,10,ebook_first,22.754999999999995,7.240000000000009,3.7849999999999966,45.29999999999973,Book
5,11,ebook_first,22.74000000000001,7.2549999999999955,3.740000000000009,44.400000000000546,Book
5,12,ebook_first,22.730000000000018,7.264999999999986,3.7099999999999795,43.80000000000109,Book
5,13,ebook_first,22.715000000000032,7.279999999999973,3.6899999999999977,42.90000000000191,None
5,1,ebook_second,22.88,7.115000000000002,4.149999999999999,52.79999999999994,None
5,2,ebook_second,22.86,7.135000000000005,3.9750000000000014,51.599999999999966,Book
5,3,ebook_second,22.810000000000002,7.185000000000002,3.9450000000000003,48.600000000000136,Book
5,4,ebook_second,22.775000000000006,7.219999999999999,3.855000000000004,46.50000000000034,Book
5,5,ebook_second,22.754999999999995,7.240000000000009,3.7849999999999966,45.29999999999973,Book
5,6,ebook_second,22.74000000000001,7.2549999999999955,3.740000000000009,44.400000000000546,Book
5,7,ebook_second,22.724999999999994,7.27000000000001,3.710000000000008,43.49999999999966,None
5,8,ebook_second,22.814999999999998,7.180000000000007,3.655000000000001,48.899999999999864,eBook
5,9,ebook_second,22.825000000000017,7.1699999999999875,3.819999999999993,49.50000000000102,eBook
5,10,ebook_second,22.840000000000003,7.155000000000001,3.8600000000000136,50.400000000000205,eBook
5,11,ebook_second,22.850000000000023,7.144999999999982,3.884999999999991,51.000000000001364,eBook
5,12,ebook_second,22.855000000000018,7.139999999999986,3.9050000000000296,51.30000000000109,eBook
5,13,ebook_second,22.795000000000016,7.199999999999989,3.9150000000000205,47.700000000000955,None
6,1,regular,23.400000000000002,6.594999999999999,5.009999999999998,84.00000000000013,None
6,2,regular,23.4,6.595000000000006,5.010000000000002,83.99999999999991,None
6,3,regular,23.400000000000006,6.594999999999999,5.009999999999998,84.00000000000034,None
6,4,regular,23.400000000000006,6.594999999999999,5.0049999999999955,84.00000000000034,None
6,5,regular,23.400000000000006,6.594999999999999,5.0049999999999955,84.00000000000034,None
6,6,regular,23.400000000000006,6.594999999999999,5.00500000000001,84.00000000000034,None
6,7,regular,23.39500000000001,6.599999999999994,5.0049999999999955,83.70000000000061,None
6,8,regular,23.400000000000006,6.594999999999999,5.0049999999999955,84.00000000000034,None
6,9,regular,23.39500000000001,6.599999999999994,5.0049999999999955,83.70000000000061,None
6,10,regular,23.400000000000006,6.594999999999999,5.0049999999999955,84.00000000000034,None
6,11,regular,23.394999999999982,6.600000000000023,5.0049999999999955,83.69999999999891,None
6,12,regular,23.400000000000034,6.59499999999997,5.0049999999999955,84.00000000000205,None
6,13,regular,23.394999999999982,6.600000000000023,5.0049999999999955,83.69999999999891,None
6,1,ebook_first,23.36,6.635000000000002,5.009999999999998,81.59999999999997,None
6,2,ebook_first,23.36,6.635000000000005,4.900000000000002,81.59999999999997,eBook
6,3,ebook_first,23.36,6.635000000000005,4.945,81.59999999999997,eBook
6,4,ebook_first,23.345,6.650000000000006,4.924999999999997,80.69999999999993,eBook
6,5,ebook_first,23.335000000000008,6.659999999999997,4.900000000000006,80.10000000000048,eBook
6,6,ebook_first,23.330000000000013,6.664999999999992,4.885000000000005,79.80000000000075,eBook
6,7,ebook_first,23.30000000000001,6.694999999999993,4.8700000000000045,78.00000000000068,None
6,8,ebook_first,23.27000000000001,6.724999999999994,4.780000000000001,76.20000000000061,Book
6,9,ebook_first,23.25,6.7450000000000045,4.780000000000001,75.0,Book
6,10,ebook_first,23.22,6.775000000000006,4.715000000000003,73.19999999999993,Book
6,11,ebook_first,23.194999999999993,6.800000000000011,4.659999999999997,71.69999999999959,Book
6,12,ebook_first,23.180000000000007,6.814999999999998,4.6200000000000045,70.80000000000041,Book
6,13,ebook_first,23.185000000000002,6.810000000000002,4.590000000000032,71.10000000000014,None
6,1,ebook_second,23.36,6.635000000000002,5.009999999999998,81.59999999999997,None
6,2,ebook_second,23.314999999999998,6.680000000000007,4.900000000000002,78.89999999999986,Book
6,3,ebook_second,23.28,6.715000000000003,4.8700000000000045,76.80000000000007,Book
6,4,ebook_second,23.245000000000005,6.75,4.784999999999997,74.70000000000027,Book
6,5,ebook_second,23.215000000000003,6.780000000000001,4.710000000000008,72.9000000000002,Book
6,6,ebook_second,23.194999999999993,6.800000000000011,4.659999999999997,71.69999999999959,Book
6,7,ebook_second,23.194999999999993,6.800000000000011,4.615000000000009,71.69999999999959,None
6,8,ebook_second,23.25,6.7450000000000045,4.5800000000000125,75.0,eBook
6,9,ebook_second,23.27000000000001,6.724999999999994,4.715000000000003,76.20000000000061,eBook
6,10,ebook_second,23.28,6.715000000000003,4.75,76.80000000000007,eBook
6,11,ebook_second,23.29000000000002,6.704999999999984,4.77000000000001,77.40000000000123,eBook
6,12,ebook_second,23.295000000000016,6.699999999999989,4.785000000000025,77.70000000000095,eBook
6,13,ebook_second,23.269999999999982,6.725000000000023,4.795000000000016,76.19999999999891,None
10,1,regular,22.400000000000002,7.574999999999999,3.1449999999999996,24.000000000000128,None
10,2,regular,22.4,7.575000000000003,3.1400000000000006,23.999999999999915,None
10,3,regular,22.400000000000006,7.575000000000003,3.1400000000000006,24.00000000000034,None
10,4,regular,22.400000000000006,7.575000000000003,3.135000000000005,24.00000000000034,None
10,5,regular,22.394999999999996,7.575000000000003,3.135000000000005,23.69999999999976,None
10,6,regular,22.39500000000001,7.574999999999989,3.135000000000005,23.700000000000614,None
10,7,regular,22.39500000000001,7.574999999999989,3.134999999999991,23.700000000000614,None
