,p,k,tauc,sleep_time,number_of_switches,x_f,xc_f,n_f,H_f,S_f
0,0.2,-1.0,23.5,5.616489693941286,2.0,0.2018514757071906,-0.9408387172158508,0.18638035029440134,17.32149954034809,0.0
1,0.2,-1.0,23.8,6.850718301061836,2.0,-0.2769360476674751,-1.011202492393679,0.18638035029440134,16.332318796671743,1.0
2,0.2,-1.0,24.1,2.8132417239225482,2.0,0.11418855907653931,0.092814769668809,0.18638035029440134,14.817586114093526,1.0
3,0.2,-1.0,24.4,6.186133666458463,2.0,0.08601441417629457,-1.0456119011632767,0.18638035029440134,17.17937395434457,0.0
4,0.2,-1.0,24.7,4.392254840724547,2.0,-0.37507836225139746,0.09218483047353229,0.18638035029440134,14.65242938468723,1.0
5,0.2,-0.5,23.5,7.020612117426609,2.0,-0.49598228826142476,-0.9423330431591747,0.18638035029440134,15.348629309497303,1.0
6,0.2,-0.5,23.8,6.590880699562773,2.0,-0.28918460818838165,-1.025808530398038,0.18638035029440134,16.126797120097386,1.0
7,0.2,-0.5,24.1,5.751405371642723,2.0,0.08323444906046952,-1.0065179730665257,0.18638035029440134,17.295023706518492,0.0
8,0.2,-0.5,24.4,4.527170518425984,2.0,0.3145201790260408,-0.6555996979158728,0.18638035029440134,17.555504896834268,0.0
9,0.2,-0.5,24.7,6.366021236727046,2.0,-0.09490244447745684,-1.0310426442158755,0.18638035029440134,16.985038414319966,1.0
10,0.2,0.0,23.5,7.570268582136165,2.0,-0.7295375724962486,-0.7802587372568338,0.18638035029440134,14.370282614715384,1.0
11,0.2,0.0,23.8,7.330418488444722,2.0,-0.6307970235496965,-0.8817767209231502,0.18638035029440134,14.798437841736451,1.0
12,0.2,0.0,24.1,7.065584009993754,2.0,-0.5104039378544739,-0.9665202778007395,0.18638035029440134,15.268937597125458,1.0
13,0.2,0.0,24.4,6.770768269831356,2.0,-0.3673388608029371,-1.0325656611893366,0.18638035029440134,15.789182054909535,1.0
14,0.2,0.0,24.7,6.4459712679575265,2.0,-0.19884001564627277,-1.0727749467264218,0.18638035029440134,16.396136080750555,1.0
15,0.2,0.5,23.5,7.330418488444722,1.0,-0.8446716972732708,-0.5846732568738686,0.18638035029440134,13.937436011979031,1.0
16,0.2,0.5,23.8,7.600249843847595,2.0,-0.7942495055865889,-0.7153151538025488,0.18638035029440134,13.965427372879866,1.0
17,0.2,0.5,24.1,7.560274828232354,2.0,-0.7231755026091063,-0.8227306792512943,0.18638035029440134,14.413512025574152,1.0
18,0.2,0.5,24.4,7.355402873204247,2.0,-0.6372373369832539,-0.9105489415447536,0.18638035029440134,14.76311550131978,1.0
19,0.2,0.5,24.7,7.145534041224235,2.0,-0.5396563955848768,-0.9817230561692143,0.18638035029440134,15.128065913848014,1.0
20,0.2,1.0,23.5,6.510930668332293,1.0,-0.8162724734575155,-0.20988338369384857,0.18638035029440134,14.219690205868792,1.0
21,0.2,1.0,23.8,7.095565271705184,1.0,-0.8601300219763766,-0.46653978209650615,0.18638035029440134,14.020439264010387,1.0
22,0.2,1.0,24.1,7.500312304809494,1.0,-0.8393124700384036,-0.6324757889461956,0.18638035029440134,13.876276051375003,1.0
23,0.2,1.0,24.4,7.740162398500937,2.0,-0.7913884994846946,-0.7559880882207791,0.18638035029440134,14.10439356595119,1.0
24,0.2,1.0,24.7,7.570268582136165,2.0,-0.7283584498076733,-0.8521636215208016,0.18638035029440134,14.396624291982057,1.0
25,0.4,-1.0,23.5,6.650843222985634,2.0,-0.26578008471735093,-1.0082418074320347,0.17512126698088631,16.316835412156586,1.0
26,0.4,-1.0,23.8,4.657089319175515,1.0,-0.48281084966017246,-0.19068136046557443,0.17512126698088631,14.761144350679142,1.0
27,0.4,-1.0,24.1,5.301686445971268,2.0,0.4708486419544286,-0.785772161130555,0.17512126698088631,17.385170910924536,0.0
28,0.4,-1.0,24.4,7.030605871330419,1.0,-0.648294587627431,-0.7953682450604137,0.17512126698088631,14.298161517999697,1.0
29,0.4,-1.0,24.7,4.806995627732667,2.0,0.6841959115773866,-0.4127990514814392,0.17512126698088631,17.489674349343847,0.0
30,0.4,-0.5,23.5,7.060587133041849,2.0,-0.516975789285552,-0.9269254458358632,0.17512126698088631,15.269823640702551,1.0
31,0.4,-0.5,23.8,6.615865084322299,2.0,-0.3021176615331205,-1.019916771177196,0.17512126698088631,16.080718472980294,1.0
32,0.4,-0.5,24.1,5.606495940037477,2.0,0.13285923414114573,-0.9924390597725258,0.17512126698088631,17.32441084374937,0.0
33,0.4,-0.5,24.4,4.797001873828857,2.0,0.3940736367552038,-0.7623607283892972,0.17512126698088631,17.495073068788123,0.0
34,0.4,-0.5,24.7,4.8169893816364775,2.0,-0.3092473867397517,-0.3571284550873242,0.17512126698088631,14.63450101785278,1.0
35,0.4,0.0,23.5,7.555277951280449,2.0,-0.7417258552703748,-0.7621860905433271,0.17512126698088631,14.278272503207246,1.0
36,0.4,0.0,23.8,7.345409119300437,2.0,-0.6367314470990155,-0.8723041279908496,0.17512126698088631,14.78033656022703,1.0
37,0.4,0.0,24.1,7.0555902560899435,2.0,-0.5070541113037436,-0.9635306317138416,0.17512126698088631,15.286618703382459,1.0
38,0.4,0.0,24.4,6.73579013116802,2.0,-0.3510833024822308,-1.0336389404315935,0.17512126698088631,15.860882216359686,1.0
39,0.4,0.0,24.7,6.371018113678951,2.0,-0.16406008037398975,-1.073470813547751,0.17512126698088631,16.5283813948631,1.0
40,0.4,0.5,23.5,7.285446595877577,1.0,-0.8538007216324739,-0.5610480776578589,0.17512126698088631,13.953467820922201,1.0
