lights_on,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
8,1,ebook_first,23.45,6.545000000000002,5.5,86.99999999999996,None,90
8,2,ebook_first,23.384999999999998,6.6100000000000065,5.155000000000001,83.09999999999988,eBook,90
8,3,ebook_first,23.120000000000005,6.875,5.085000000000001,67.20000000000027,eBook,90
8,4,ebook_first,22.965000000000003,7.030000000000001,4.670000000000002,57.900000000000205,eBook,90
8,5,ebook_first,22.83,7.165000000000006,4.335000000000008,49.7999999999999,eBook,90
8,6,ebook_first,22.724999999999994,7.27000000000001,4.075000000000003,43.49999999999966,eBook,90
8,7,ebook_first,22.689999999999998,7.305000000000007,3.8700000000000045,41.399999999999864,None,90
8,8,ebook_first,22.650000000000006,7.344999999999999,3.655000000000001,39.00000000000034,Book,90
8,9,ebook_first,22.430000000000007,7.564999999999998,3.655000000000001,25.80000000000041,Book,90
8,10,ebook_first,22.295000000000016,7.554999999999978,3.335000000000008,17.700000000000955,Book,90
8,11,ebook_first,22.100000000000023,7.544999999999959,3.075000000000017,6.000000000001364,Book,90
8,12,ebook_first,21.995000000000005,7.535000000000025,2.8600000000000136,0.0,Book,90
8,13,ebook_first,21.995000000000005,7.389999999999986,2.680000000000007,0.0,None,90
9,1,ebook_first,23.98,6.015000000000001,6.0,118.80000000000003,None,90
9,2,ebook_first,23.615000000000002,6.380000000000003,5.84,96.90000000000012,eBook,90
9,3,ebook_first,23.370000000000005,6.625,5.675000000000004,82.20000000000027,eBook,90
9,4,ebook_first,23.150000000000006,6.844999999999999,5.140000000000001,69.00000000000034,eBook,90
9,5,ebook_first,22.97500000000001,7.019999999999996,4.704999999999998,58.50000000000051,eBook,90
9,6,ebook_first,22.840000000000003,7.155000000000001,4.359999999999999,50.400000000000205,eBook,90
9,7,ebook_first,22.80000000000001,7.194999999999993,4.094999999999999,48.00000000000068,None,90
9,8,ebook_first,22.745000000000005,7.25,3.8600000000000136,44.70000000000027,Book,90
9,9,ebook_first,22.50999999999999,7.485000000000014,3.8300000000000125,30.599999999999454,Book,90
