simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
49,1,ebook_first,22.645,7.350000000000001,3.629999999999999,38.699999999999974,None,90
49,2,ebook_first,22.75,7.2450000000000045,3.594999999999999,45.0,eBook,90
49,3,ebook_first,22.655,7.340000000000003,3.884999999999998,39.30000000000007,eBook,90
49,4,ebook_first,22.629999999999995,7.365000000000009,3.799999999999997,37.79999999999973,eBook,90
49,5,ebook_first,22.605000000000004,7.390000000000001,3.740000000000009,36.30000000000024,eBook,90
49,6,ebook_first,22.590000000000003,7.405000000000001,3.6899999999999977,35.400000000000205,eBook,90
49,7,ebook_first,22.629999999999995,7.365000000000009,3.655000000000001,37.79999999999973,None,90
49,8,ebook_first,22.64500000000001,7.349999999999994,3.5900000000000034,38.700000000000614,Book,90
49,9,ebook_first,22.455000000000013,7.539999999999992,3.694999999999993,27.30000000000075,Book,90
49,10,ebook_first,22.360000000000014,7.634999999999991,3.444999999999993,21.60000000000082,Book,90
49,11,ebook_first,22.269999999999982,7.615000000000009,3.25,16.19999999999891,Book,90
49,12,ebook_first,22.150000000000034,7.614999999999952,3.090000000000032,9.000000000002046,Book,90
49,13,ebook_first,22.194999999999993,7.490000000000009,2.9599999999999795,11.69999999999959,None,90
61,1,ebook_first,22.075,7.34,3.0,4.499999999999957,None,90
61,2,ebook_first,21.994999999999997,7.540000000000006,2.6449999999999996,0.0,eBook,90
61,3,ebook_first,21.995000000000005,7.474999999999994,2.770000000000003,0.0,eBook,90
61,4,ebook_first,21.995000000000005,7.435000000000002,2.605000000000004,0.0,eBook,90
61,5,ebook_first,21.995000000000005,7.3999999999999915,2.4750000000000085,0.0,eBook,90
61,6,ebook_first,21.995000000000005,7.375,2.3700000000000045,0.0,eBook,90
61,7,ebook_first,21.995000000000005,7.175000000000011,2.2849999999999966,0.0,None,90
61,8,ebook_first,21.995000000000005,7.305000000000007,1.960000000000008,0.0,Book,90
61,9,ebook_first,21.995000000000005,7.215000000000003,1.950000000000017,0.0,Book,90
61,10,ebook_first,21.995000000000005,7.150000000000006,1.6899999999999977,0.0,Book,90
61,11,ebook_first,21.995000000000005,7.095000000000027,1.4800000000000182,0.0,Book,90
61,12,ebook_first,21.995000000000005,7.050000000000011,1.3050000000000068,0.0,Book,90
61,13,ebook_first,21.995000000000005,6.860000000000014,1.160000000000025,0.0,None,90
75,1,ebook_first,21.995,7.274999999999999,2.91,0.0,None,90
75,2,ebook_first,21.994999999999997,7.415000000000006,2.460000000000001,0.0,eBook,90
75,3,ebook_first,21.995000000000005,7.340000000000003,2.490000000000002,0.0,eBook,90
75,4,ebook_first,21.995000000000005,7.284999999999997,2.280000000000001,0.0,eBook,90
75,5,ebook_first,21.995000000000005,7.239999999999995,2.1099999999999994,0.0,eBook,90
75,6,ebook_first,21.995000000000005,7.194999999999993,1.9650000000000034,0.0,eBook,90
75,7,ebook_first,21.995000000000005,7.0,1.8400000000000034,0.0,None,90
75,8,ebook_first,21.995000000000005,7.085000000000008,1.4250000000000114,0.0,Book,90
75,9,ebook_first,21.995000000000005,7.009999999999991,1.375,0.0,Book,90
75,10,ebook_first,21.995000000000005,6.939999999999998,1.1200000000000045,0.0,Book,90
75,11,ebook_first,21.995000000000005,6.884999999999991,0.9099999999999966,0.0,Book,90
75,12,ebook_first,21.995000000000005,6.8349999999999795,0.7300000000000182,0.0,Book,90
