simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,indoor_light,reading_duration
4,1,chang14_ebook_first,23.38,6.330000000000002,3.5,82.79999999999994,None,90,1
4,2,chang14_ebook_first,23.305,6.484999999999999,3.3550000000000004,78.29999999999998,eBook,90,1
4,3,chang14_ebook_first,23.174999999999997,6.439999999999998,3.469999999999999,70.49999999999983,eBook,90,1
4,4,chang14_ebook_first,23.0,6.445000000000007,3.2650000000000006,60.0,eBook,90,1
4,5,chang14_ebook_first,22.85000000000001,6.444999999999993,3.0900000000000034,51.00000000000051,eBook,90,1
4,6,chang14_ebook_first,22.724999999999994,6.445000000000022,2.9450000000000074,43.49999999999966,eBook,90,1
4,7,chang14_ebook_first,22.664999999999992,6.3300000000000125,2.825000000000017,39.89999999999952,None,90,1
4,8,chang14_ebook_first,22.610000000000014,6.514999999999986,2.700000000000017,36.60000000000082,Book,90,1
4,9,chang14_ebook_first,22.504999999999995,6.485000000000014,2.805000000000007,30.299999999999727,Book,90,1
4,10,chang14_ebook_first,22.355000000000018,6.489999999999981,2.6200000000000045,21.30000000000109,Book,90,1
4,11,chang14_ebook_first,22.225000000000023,6.4950000000000045,2.469999999999999,13.500000000001364,Book,90,1
4,12,chang14_ebook_first,22.11500000000001,6.5,2.3450000000000273,6.900000000000546,Book,90,1
4,13,chang14_ebook_first,22.139999999999986,6.335000000000036,2.240000000000009,8.399999999999181,None,90,1
4,1,chang14_ebook_second,23.38,6.330000000000002,3.5,82.79999999999994,None,90,1
4,2,chang14_ebook_second,23.225,6.490000000000002,3.3550000000000004,73.50000000000009,Book,90,1
4,3,chang14_ebook_second,23.019999999999996,6.4550000000000125,3.384999999999998,61.19999999999976,Book,90,1
4,4,chang14_ebook_second,22.78,6.469999999999999,3.105000000000004,46.80000000000007,Book,90,1
4,5,chang14_ebook_second,22.58,6.4750000000000085,2.875,34.7999999999999,Book,90,1
4,6,chang14_ebook_second,22.409999999999997,6.485000000000014,2.680000000000007,24.599999999999795,Book,90,1
4,7,chang14_ebook_second,22.400000000000006,6.335000000000008,2.5200000000000102,24.00000000000034,None,90,1
4,8,chang14_ebook_second,22.465000000000003,6.485000000000014,2.4250000000000114,27.900000000000205,eBook,90,1
4,9,chang14_ebook_second,22.460000000000008,6.449999999999989,2.6599999999999966,27.600000000000477,eBook,90,1
4,10,chang14_ebook_second,22.400000000000006,6.449999999999989,2.5800000000000125,24.00000000000034,eBook,90,1
4,11,chang14_ebook_second,22.345000000000027,6.449999999999989,2.515000000000015,20.700000000001637,eBook,90,1
4,12,chang14_ebook_second,22.30000000000001,6.449999999999989,2.465000000000032,18.000000000000682,eBook,90,1
4,13,chang14_ebook_second,22.28000000000003,6.3349999999999795,2.420000000000016,16.800000000001774,None,90,1
28,1,chang14_ebook_first,22.275000000000002,6.369999999999997,3.5,16.500000000000128,None,90,1
28,2,chang14_ebook_first,22.155,6.520000000000003,3.3550000000000004,9.300000000000068,eBook,90,1
28,3,chang14_ebook_first,22.03,6.4950000000000045,3.469999999999999,1.8000000000000682,eBook,90,1
28,4,chang14_ebook_first,21.995000000000005,6.489999999999995,3.2650000000000006,0.0,eBook,90,1
28,5,chang14_ebook_first,21.995000000000005,6.474999999999994,3.0900000000000034,0.0,eBook,90,1
28,6,chang14_ebook_first,21.995000000000005,6.460000000000008,2.9450000000000074,0.0,eBook,90,1
28,7,chang14_ebook_first,21.995000000000005,6.324999999999989,2.825000000000017,0.0,None,90,1
28,8,chang14_ebook_first,21.995000000000005,6.5,2.700000000000017,0.0,Book,90,1
28,9,chang14_ebook_first,21.995000000000005,6.469999999999999,2.805000000000007,0.0,Book,90,1
28,10,chang14_ebook_first,21.995000000000005,6.449999999999989,2.6200000000000045,0.0,Book,90,1
28,11,chang14_ebook_first,21.995000000000005,6.425000000000011,2.469999999999999,0.0,Book,90,1
28,12,chang14_ebook_first,21.995000000000005,6.410000000000025,2.3450000000000273,0.0,Book,90,1
28,13,chang14_ebook_first,21.995000000000005,6.2450000000000045,2.240000000000009,0.0,None,90,1
28,1,chang14_ebook_second,22.275000000000002,6.369999999999997,3.5,16.500000000000128,None,90,1
28,2,chang14_ebook_second,22.085,6.530000000000001,3.3550000000000004,5.100000000000051,Book,90,1
28,3,chang14_ebook_second,21.995000000000005,6.515000000000001,3.384999999999998,0.0,Book,90,1
28,4,chang14_ebook_second,21.995000000000005,6.5,3.105000000000004,0.0,Book,90,1
28,5,chang14_ebook_second,21.995000000000005,6.480000000000004,2.875,0.0,Book,90,1
28,6,chang14_ebook_second,21.995000000000005,6.4550000000000125,2.680000000000007,0.0,Book,90,1
28,7,chang14_ebook_second,21.995000000000005,6.289999999999992,2.5200000000000102,0.0,None,90,1
28,8,chang14_ebook_second,21.995000000000005,6.439999999999998,2.4250000000000114,0.0,eBook,90,1
28,9,chang14_ebook_second,21.995000000000005,6.4199999999999875,2.6599999999999966,0.0,eBook,90,1
28,10,chang14_ebook_second,21.995000000000005,6.409999999999997,2.5800000000000125,0.0,eBook,90,1
28,11,chang14_ebook_second,21.995000000000005,6.399999999999977,2.515000000000015,0.0,eBook,90,1
28,12,chang14_ebook_second,21.995000000000005,6.389999999999986,2.465000000000032,0.0,eBook,90,1
28,13,chang14_ebook_second,21.995000000000005,6.269999999999982,2.420000000000016,0.0,None,90,1
29,1,chang14_ebook_first,22.835,6.629999999999999,3.5,50.10000000000005,None,90,1
29,2,chang14_ebook_first,22.735,6.800000000000004,3.3550000000000004,44.099999999999966,eBook,90,1
29,3,chang14_ebook_first,22.614999999999995,6.75500000000001,3.469999999999999,36.89999999999969,eBook,90,1
29,4,chang14_ebook_first,22.445000000000007,6.7549999999999955,3.2650000000000006,26.700000000000443,eBook,90,1
29,5,chang14_ebook_first,22.290000000000006,6.7549999999999955,3.0900000000000034,17.400000000000375,eBook,90,1
29,6,chang14_ebook_first,22.164999999999992,6.760000000000019,2.9450000000000074,9.899999999999523,eBook,90,1
29,7,chang14_ebook_first,22.095,6.640000000000015,2.825000000000017,5.699999999999932,None,90,1
29,8,chang14_ebook_first,22.034999999999997,6.8300000000000125,2.700000000000017,2.0999999999997954,Book,90,1
29,9,chang14_ebook_first,21.995000000000005,6.789999999999992,2.805000000000007,0.0,Book,90,1
29,10,chang14_ebook_first,21.995000000000005,6.764999999999986,2.6200000000000045,0.0,Book,90,1
29,11,chang14_ebook_first,21.995000000000005,6.740000000000009,2.469999999999999,0.0,Book,90,1
29,12,chang14_ebook_first,21.995000000000005,6.720000000000027,2.3450000000000273,0.0,Book,90,1
29,13,chang14_ebook_first,21.995000000000005,6.555000000000007,2.240000000000009,0.0,None,90,1
29,1,chang14_ebook_second,22.835,6.629999999999999,3.5,50.10000000000005,None,90,1
29,2,chang14_ebook_second,22.660000000000004,6.805,3.3550000000000004,39.60000000000022,Book,90,1
29,3,chang14_ebook_second,22.465000000000003,6.769999999999996,3.384999999999998,27.900000000000205,Book,90,1
29,4,chang14_ebook_second,22.230000000000004,6.780000000000001,3.105000000000004,13.800000000000239,Book,90,1
29,5,chang14_ebook_second,22.03,6.790000000000006,2.875,1.8000000000000682,Book,90,1
29,6,chang14_ebook_second,21.995000000000005,6.775000000000006,2.680000000000007,0.0,Book,90,1
